"Glottocode","Name","Macroarea","Latitude","Longitude","ISO639P3code","Level","Family_ID","Language_ID","Is_Isolate","Family_Name","Isolates_Balanced_Sample","Isolates_Sample","American_Sample","Worldwide_Sample","North_American_Split_Sample","South_American_Split_Sample","North_American_Universal_Sample","South_American_Universal_Sample","North_America_25_SALSA_Sample","Noun_Poss_Sample"
"ayor1240","Ayoreo","South America",-19.220055,-60.217495,"ayo","language","zamu1243","","false","Zamucoan","1","1","1",,,"1",,,,
"wyan1247","Huron-Wyandot","North America",44.33,-77.5,"wya","language","iroq1247","","false","Iroquoian",,,"1",,"1",,,,,
"abkh1244","Abkhaz","Eurasia",43.056218,41.159115,"abk","language","abkh1242","","false","Abkhaz-Adyge","1","1",,"1",,,,,,"1"
"ariz1237","Arizona Tewa","North America",35.836667,-110.381389,"","language","kiow1265","","false","Kiowa-Tanoan","1","1","1",,"1",,,,,"1"
"nisg1240","Nisga'a","North America",55.199,-129.192,"ncg","language","tsim1258","","false","Tsimshian","1","1","1",,"1",,,,,
"djeo1235","Djeoromitxí","South America",-12.038,-64.6694,"jbt","language","nucl1710","","false","Nuclear-Macro-Je",,,"1",,,"1",,,,
"kren1239","Borum","South America",-18.9988,-41.2299,"kqq","language","nucl1710","","false","Nuclear-Macro-Je",,,"1",,,"1",,,,
"koas1236","Koasati","North America",30.4096,-92.709,"cku","language","musk1252","","false","Muskogean",,,"1",,"1",,,,,
"choc1276","Choctaw","North America",32.25,-88.5,"cho","language","musk1252","","false","Muskogean",,,"1",,"1",,,,,
"brah1256","Brahui","Eurasia",29.04,66.56,"brh","language","drav1251","","false","Dravidian",,,,"1",,,,,,
"high1276","Highland Popoluca","North America",18.198,-94.9109,"poi","language","mixe1284","","false","Mixe-Zoque",,,"1",,"1","1",,,,"1"
"toto1305","Totontepec Mixe","North America",17.2157,-96.0179,"mto","language","mixe1284","","false","Mixe-Zoque",,"1","1",,"1","1",,,,
"tido1248","Tidore","Papunesia",0.02461,127.746,"tvo","language","nort2923","","false","North Halmahera","1","1",,"1",,,,,,
"rama1270","Rama","North America",11.5007,-83.8571,"rma","language","chib1249","","false","Chibchan","1","1","1",,"1","1",,,"1",
"nucl1622","Marind","Papunesia",-8.15651,140.009,"mrz","language","anim1240","","false","Anim","1","1",,"1",,,,,,"1"
"kwak1269","Kwak'wala","North America",50.9269,-127.308,"kwk","language","waka1280","","false","Wakashan",,,"1",,"1",,"1",,,
"kaya1319","Kayardild","Australia",-17.0695,139.489,"gyd","language","tang1340","","false","Tangkic","1","1",,"1",,,,,,"1"
"kron1241","Krongo","Africa",10.514,30.003,"kgo","language","kadu1256","","false","Kadugli-Krongo","1","1",,"1",,,,,,"1"
"karo1305","Karo (Brazil)","South America",-10.3342,-61.5691,"arr","language","tupi1275","","false","Tupian",,,"1",,,"1",,,,
"kari1311","Karitiâna","South America",-9.37937,-64.1522,"ktn","language","tupi1275","","false","Tupian",,,"1",,,"1",,,,
"mund1330","Mundurukú","South America",-8.41095,-57.691,"myu","language","tupi1275","","false","Tupian",,,"1",,,"1",,,,
"juru1256","Jurúna","South America",-10.9354,-53.3472,"jur","language","tupi1275","","false","Tupian",,,"1",,,"1",,,,
"ikpe1245","Ikpeng","South America",-11.37822,-53.49553,"txi","language","cari1283","","false","Cariban",,,"1",,,"1",,,,
"kuik1246","Kuikúro-Kalapálo","South America",-12.3035,-53.2261,"kui","language","cari1283","","false","Cariban",,,"1",,,"1",,,,
"enap1235","Panare","South America",6.95035,-65.8483,"pbh","language","cari1283","","false","Cariban",,,"1",,,"1",,,,
"yukp1241","Yukpa","South America",9.67534,-73.0557,"yup","language","cari1283","","false","Cariban",,,"1",,,"1",,,,
"hixk1239","Hixkaryána","South America",-0.16265,-58.80153,"hix","language","cari1283","","false","Cariban","1","1","1",,,"1",,,,"1"
"yoku1256","Northern Yokuts","North America",36.3167,-119.721,"yok","language","yoku1255","","false","Yokutsan",,"1","1",,"1",,"1",,,
"muts1243","Mutsun","North America",36.84721,-121.44911,"css","language","miwo1274","","false","Miwok-Costanoan",,,"1",,"1",,,,,
"lake1258","Lake Miwok","North America",39.0021,-122.621,"lmw","language","miwo1274","","false","Miwok-Costanoan",,,"1",,"1",,"1",,,
"yaki1237","Northwest Sahaptin","North America",46.2655,-120.756,"yak","language","saha1239","","false","Sahaptian","1","1","1",,"1",,,,,
"madi1260","Ma'di","Africa",3.62499,31.8471,"mhi","language","cent2225","","false","Central Sudanic","1","1",,"1",,,,,,"1"
"wang1291","Ngiyambaa","Australia",-30.6481,146.18,"wyb","language","pama1250","","false","Pama-Nyungan",,,,"1",,,,,,
"iumi1238","Iu Mien","Eurasia",20.83,101.17,"ium","language","hmon1336","","false","Hmong-Mien","1","1",,"1",,,,,,"1"
"yaqu1251","Yaqui","North America",29.9446,-110.681,"yaq","language","utoa1244","","false","Uto-Aztecan",,,"1",,"1",,,,,
"ines1240","Ineseño","North America",34.6169,-120.08,"inz","language","chum1262","","false","Chumashan",,"1","1",,"1",,,,,
"manc1252","Manchu","Eurasia",47.31225,126.55713,"mnc","language","tung1282","","false","Tungusic",,,"1",,,,,,,
"lill1248","Lillooet","North America",50.7272,-122.04,"lil","language","sali1255","","false","Salishan",,,"1",,"1",,,,"1",
"cent2127","Central Alaskan Yupik","North America",60.3062,-161.486,"esu","language","eski1264","","false","Eskimo-Aleut","1","1","1",,"1",,,,,
